date_time
2010-02-07 00:00:00
2010-02-14 00:00:00
2010-02-21 00:00:00
2010-02-28 00:00:00
2010-03-07 00:00:00
2010-03-14 00:00:00
2010-03-21 00:00:00
2010-03-28 00:00:00
2010-04-04 00:00:00
2010-04-11 00:00:00
2010-04-18 00:00:00
2010-04-25 00:00:00
2010-05-02 00:00:00
2010-05-09 00:00:00
2010-05-16 00:00:00
2010-05-23 00:00:00
2010-05-30 00:00:00
2010-06-06 00:00:00
2010-06-13 00:00:00
2010-06-20 00:00:00
2010-06-27 00:00:00
2010-07-04 00:00:00
2010-07-11 00:00:00
2010-07-18 00:00:00
2010-07-25 00:00:00
2010-08-01 00:00:00
2010-08-08 00:00:00
2010-08-15 00:00:00
2010-08-22 00:00:00
2010-08-29 00:00:00
2010-09-05 00:00:00
2010-09-12 00:00:00
2010-09-19 00:00:00
2010-09-26 00:00:00
2010-10-03 00:00:00
2010-10-10 00:00:00
2010-10-17 00:00:00
2010-10-24 00:00:00
2010-10-31 00:00:00
2010-11-07 00:00:00
2010-11-14 00:00:00
2010-11-21 00:00:00
2010-11-28 00:00:00
2010-12-05 00:00:00
2010-12-12 00:00:00
2010-12-19 00:00:00
2010-12-26 00:00:00
2011-01-02 00:00:00
2011-01-09 00:00:00
2011-01-16 00:00:00
2011-01-23 00:00:00
2011-01-30 00:00:00
2011-02-06 00:00:00
2011-02-13 00:00:00
2011-02-20 00:00:00
2011-02-27 00:00:00
2011-03-06 00:00:00
2011-03-13 00:00:00
2011-03-20 00:00:00
2011-03-27 00:00:00
2011-04-03 00:00:00
2011-04-10 00:00:00
2011-04-17 00:00:00
2011-04-24 00:00:00
2011-05-01 00:00:00
2011-05-08 00:00:00
2011-05-15 00:00:00
2011-05-22 00:00:00
2011-05-29 00:00:00
2011-06-05 00:00:00
2011-06-12 00:00:00
2011-06-19 00:00:00
2011-06-26 00:00:00
2011-07-03 00:00:00
2011-07-10 00:00:00
2011-07-17 00:00:00
2011-07-24 00:00:00
2011-07-31 00:00:00
2011-08-07 00:00:00
2011-08-14 00:00:00
2011-08-21 00:00:00
2011-08-28 00:00:00
2011-09-04 00:00:00
2011-09-11 00:00:00
2011-09-18 00:00:00
2011-09-25 00:00:00
2011-10-02 00:00:00
2011-10-09 00:00:00
2011-10-16 00:00:00
2011-10-23 00:00:00
2011-10-30 00:00:00
2011-11-06 00:00:00
2011-11-13 00:00:00
2011-11-20 00:00:00
2011-11-27 00:00:00
2011-12-04 00:00:00
2011-12-11 00:00:00
2011-12-18 00:00:00
2011-12-25 00:00:00
2012-01-01 00:00:00
2012-01-08 00:00:00
2012-01-15 00:00:00
2012-01-22 00:00:00
2012-01-29 00:00:00
2012-02-05 00:00:00
2012-02-12 00:00:00
2012-02-19 00:00:00
2012-02-26 00:00:00
2012-03-04 00:00:00
2012-03-11 00:00:00
2012-03-18 00:00:00
2012-03-25 00:00:00
2012-04-01 00:00:00
2012-04-08 00:00:00
2012-04-15 00:00:00
2012-04-22 00:00:00
2012-04-29 00:00:00
2012-05-06 00:00:00
2012-05-13 00:00:00
2012-05-20 00:00:00
2012-05-27 00:00:00
2012-06-03 00:00:00
2012-06-10 00:00:00
2012-06-17 00:00:00
2012-06-24 00:00:00
2012-07-01 00:00:00
2012-07-08 00:00:00
2012-07-15 00:00:00
2012-07-22 00:00:00
2012-07-29 00:00:00
2012-08-05 00:00:00
